"text_id","question_title","question","text","ratingA1","ratingA2","ratingA3","labelA","ratingM1","ratingM2","ratingM3","ratingM4","ratingM5","labelM"
"text1046NE","The Iraq war, was this the plan?","When the Iraq war started America and its allies were doing most of the killing. Now the Iraqis are killing one another at the rate of about 100 a day, was this the plan?","No, the US went into Iraq with no understanding at all of the customs, religion, and society that made up the country.  By removing a strong dictator the US unleashed anarchy.  The only solution is a strong dictator to put down the insurrection and use wholesale killing to restore order.  This is why there were so many mass graves; mass executions were necessary under Saddam Hussein to keep the people in line, mass executions are still necessary now. Democracy as we know it will never work in Iraq, and the longer the US labors under the delusion that it will, the longer the killing will continue.","3","2","2","3","2","3","2","2","2","2"
"text1354T","Is Bosnia A 3rd World Country?","Just curious exactly what Bosnia is like.  Is it closer to a 3rd world country, or closer to amerca or the U.K.?<br/>I ask this because I don't know anything about forien countries and am curious about bosnia.","No, Bosnia is not a third world country. It is in many ways similar to other East-European countries. The Bosnian economy isn't doing too good since the war. There is high unemployment, little foreign investment and a lot of Bosnians need to work abroad. It's not as modern as Western Europe, but it's not at all primitive either. It's nothing like third world countries. There is still a lot of damage after the war, but people are slowly rebuilding/repairing. The Bosnian people (the muslims) are wonderful. The Bosnian landscape is truly beautiful too.

I've been to Bosnia and I enjoyed my stay there very much.","3","1","3","3","2","3","2","3","2","3"
"text1768AH","If Death is a Natural Part of Life, Then Why Do We Feel Grief When People Die?","1) Everyone dies some day.  2) Whenever there is a death, everyone emphasizes the positive and treats it as a ""celebration of life"".  

Both of these ideas make sense, so why does it still feel so painful when someone dies?","I don't know that anyone can really explain the why part. We just do. Maybe, we feel grief because an emotional attachment, that has been a real part of our lives, has been severed. It takes a while to grasp the fact that it is temporary. We miss that persons (or pets) presence in our life. When someone I was close to, died I thought my heart would really break, that my world had come to an end, but eventually I started thinking in a different way, and it helped with the grief. Instead of thinking of it as the END, I started thinking of it like he just moved, ""upstairs,"" to heaven, before I did. I believe that there is life after death, if we are Christians we will go to heaven, and that he will be waiting for me. If you are grieving I am sorry. The hole one leaves will always be there, but eventually you will learn to breathe again. And you will find that life really does go on. Not at first, but it does.","2","2","3","3","3","1","2","3","1","2"
"text1413T","Should I marry a drop dead beautiful Chinese girl half my age who totally worships me?","She is short, petite, beautiful, lovely, warm, kind, hot, smart and totally in love with me and I her.","My fiance is also Chinese...short, petit, warm and lovely and all the adjectives you use and more. We lived together for 60 days before she had to return to China; her visa was over. Now we try to deal with the requisite paperwork so we can marry.

Maybe there are two issues here: age and cultural differences.Without knowing the exact ages, it's hard to say. I think Chinese women are the most beautiful of all women, but I've learned to be wary of some Chinese women who have their own agenda. Some I've met have preconceived notions of Americans which are not accurate. Many are money crazy. Some just want a green card. Some want a meal ticket. Many are wonderful, sweet warm people. I would have to know more.","2","3","2","3","2","2","3","3","2","3"
"text1178SC","Have you been humbled by God, in what ways?","In many ways I've been humbled by God, for the sin of caring only about myself. And It's been a humbling experience indeed. Praise the Lord for the rebukes and trials. Let's praise the LORD!","Yes. I am humbled that God loves me (and you) enough to bring correction or discipline when needed.  It is through the trials, storms, and pressures that we grow and mature in our spirituality.  I have also learned there is a blessing in brokenness (humbling).  Like the Alabaster Jar, we look at the outside and marvel at the intricacy and place great worth on its' exterior that we can see.  But truly,the most exquisite and valuable part is the nard (sweet perfume) on the inside.  It is not until we are broken that the perfume of the Holy Spirit who dwells within us, can come out.  Passing the test simply catapaults us to the next level.  Then our responsibility is to turn back and help someone else experiencing the same test.","2","1","3","2","3","2","3","1","2","2"
"text1121NE","Do you ever think there will be a true mulicultural society?","When all I hear on the news is either about muslims veils or the BNP leader getting off scott free it really points out the problem we got in U.K. Can we bring a discussion about without it being shouted down? Is the idea of us living side-by-side just a dream? I hope not but I'd like to read any comments from anyone.

Thanks","I hope not in the sense that the term is currently used. While many aspects of Eastern culture can usefully supplement the British cultures, where there is a conflict, we should all strive to ensure that our indigenous culture prevails. The idea of changing this country's laws to accommodate interlopers would be laughable if it were not happening before our eyes. If the moderate views of Enoch Powell and Nick Griffin are to be outlawed then maybe England needs an Adolf Hitler to roll back the actions of successive governments who have failed to listen to those who produce most of it's revenue.","2","1","1","1","2","2","1","2","2","1"
"text1133T","What is the best way to travel from Rome to Venice ?","My wife and I are going to Rome for 10 days. We already booked the hotel in Rome and would like to travel to Venice and spend one night there.  Thank you in advance.","Hopping on the eurostar (train) from termini to Venice you

would be your best bet! Its four hours long and doesn't cost more the 30 euros.  Do not take the night train! I did it the first time and it was horrible.  Its the intercity train which has seats in little rooms where people smoke. On my first trip to Italy I did it and with in 4 hours I had a heavy smoker, then a prostitute which got kicked off the train by the police and some religious group, an experience I do not wish on my worst enemy.  Its a nice ride and the eurostar is super quick!  If you go by plane its a quick trip but then u have to take the water bus which takes an hour to get to st. mark square.","1","2","2","1","2","2","2","3","2","2"
"text1049AH","Should police officers be allowed to use tasers on citizens?","I have read numerous news stories across the country of police officers tasing citizens for minor reasons. If a suspect has a gun, then obviously a police officer is going to use his gun also. So why use tasers to electrocute citizens for minor reasons? According to Amnesty International, more than 144 citizens have died already after being tasered by police.","It depends upon what you consider ""minor reasons.""  A gun is not the only reason an officer would need to incapacitate a ""citizen.""  The question can only be answered on a case by case basis.  If the citizen - unarmed - is beating another citizen and won't stop despite police requests, then a taser would be appropriate to incapacitate him - the officers aren't required to get into a brawl to stop violence.  If the citizen is merely mouthing off to a police officer - then such use would be patently unlawful.  There is a huge spectrum in the middle that can't be answered with a ""pat"" answer applicable to all.","2","3","2","3","2","2","2","2","2","2"
"text667PG","Why do AMERICANS whine like little girls about IMMIGRATION??","Lets get it straight! ""americans"" came in ships from Europe and other countries, by far YOU are the biggest ""W3TBACK"" you had to cross the Atlantic to get here. We just cross the fvcking river which is 30 feet long. The real americans are the INDIANS and you whipe them all out. now MEXICANS are taking over what it used to be ours. You'll know what it feels like to be kicked out of ur country. The bottom line is we are here to stay and there is nothing you can do about it. so, STOP THE FVCKING BITCHIN'","yOU MAY BE HERE TO STAY BUT LET ME ASK YOU THIS: iT IS A FACT THAT ILLEGALS ARE A DRAIN ON THE ECONOMY BECAUSE THEY BEG FOR EVERYTHING FREE YET PAY NO TAXES. SO MY QUESTION IS; WHAT ARE YOU GOING TO DO WHEN YOU TAKE OVER AND OUT NUMBER EVERYONE ELSE THREE TO ONE? THERE WILL BE NO MORE TAX BASE FOR YOU TO DRAW FROM. NO MORE FREE FOOD, NO MORE FREE MEDICAL, NO MORE FREE SCHOOL,NO MORE FREE ANYTHING. WHAT WILL YOU DO? YOU ARE LIKE A PLAGUE OF LOCUSTS. YOU MOVE ACROSS THE COUNTRY DEVOURING EVERY THING IN SIGHT AND LEAVE NOTHING BUT BARON LAND. YOU ARE A WORTHLESS BREED THAT NEEDS TO BE EXTINGUISHED. YES WE TOOK THE LAND FROM THE NATIVE AMERICANS AND WE TOOK LAND FROM MEXICO TOO. BUT WE KICKED BOTH YOUR ASSES AND TOOK IT LIKE MEN, WE DID NOT MOVE IN LIKE COCKROACHES IN THE DARK OF THE NIGHT AND HIDE DURING THE DAY. IF YOU WANT, COME AND GET IT. BUT YOU'RE GOING TO HAVE TO FIGHT FOR IT. SINCE MEXICO CAN'T EVEN AFFORD TO TAKE CARE OF THEMSELVES, THERE IS NO REAL WORRY OF YOU FIGHTING FOR ANYTHING. NO, OUR BIGGEST WORRY IS OUR OWN NATION OF P-SSIES ROLLING OVER AND PLAYING DEAD!","1","2","1","1","2","2","1","1","1","1"
"text168FR","Man trouble, I don't know what to do! Pleeeeeeeeeease help!?","I've been with my man for a year and we both agree what we have is special etc, I've never felt this way about someone before. I knew I would be moving away with work this summer and we agreed to see how it goes. When we visit each other it's perfect and we really enjoy each others company, but when we're apart I feel as though I'm the one trying to make it work and he rarely calls unless I ask him to etc, I know he has a lot on and he always has because of work but I don't know how to talk to him about the fact that I feel completely separate to the rest of his life. I don't want to bring it up when I see him because I'm concerned it'll ruin the atmosphere, but I feel I should speak to him in person? Please give me some advice? I know we can sort it out, but how!","I think he was devastated by your movement but is afraid to say so least you might think he is jealous about your job or you might label him as not supporting your profession.

I don't want to be pessimistic, but maybe as soon as you moved he couldn't stand it such that he immediately jumped into another relationship. On the optimistic side, I think you need to talk because for a relationship to work, both partners need to pull together rather than for everything to be left to one person. Tread carefully as he will try by all means try to point at you as the initiator of this separation which has led to your misery. If he doesn't support your professional move, then I don't think he is worthy the worry you seem to be going through.","2","3","2","3","3","2","2","3","3","3"
"text1916PG","Why do some Americans think that the solution....?","to any problem is to bomb some one?

There are many intelligent Americans from all sides of the political spectrum, but there seems to be a serious view that the USA military will always win any conflict and therefore the solution is always to “bomb, nuke or invade”.

Do these view really represent mainstream US thought ?","The American people are smart most of the time. They see the US Military as a weapon. It is probably the most powerful weapon in the world, all things considered. They know that. They also know that politicians (Americans and everyone elses) will say or do anything to get elected therefore rich. The part that frustrates most Americans is that they know that the US Military can go in and kick about anyones butt.

Think of it like you in your home with one weapon (US Military) one politician and one soldier. A group of murderers break into your home. The soldier grabs the weapon and starts killing the murderers. The politician watches until most of the murderers are dead then takes the weapon away from the soldier and tries to kill the rest ( just to look good and get reelected). Then things start to go bad. Politician can't shoot for crap doesn't know how to reload has no idea of tactics. THIS is where Americans say ""just finish them off"" with frustration. Don't blame them they know we can win. We just can't do it and look politically correct.","2","2","2","2","2","2","3","1","1","1"
"text1957AH","How long b4 computers achieve a true AI??","They're not even close to being as intricate as the human brain, but let us not forget they've been around for just over a century and their development rate is far greater than our brain's. I don't think humans will create AI; rather computers will.What do you say?","Well according to Belen o' Craig one of the most reformist in AI currently reaserching in JAPAN, humans will achieave a complete AI driven machine at the end of 200 years from now. But there are flaws as his theory depends upon the development of hardware and software which is somewhat depended upon moores laws. Please be patient we are achieving at a very high rate but the problem is our time frame is on the human life cycle. i.e, we are looking after centuries. so in ur life time my dear complete AI driven machine is impossible as hardware is not going to be developed to sustain that software.","2","2","2","2","3","2","1","2","2","2"
"text1989T","Should I take precautions against malaria in Costa Rica?","I am travelling to Manuel Antonio, Islita (Southern Guanacaste coast), Monteverde, and Arenal in December for my honeymoon.

Is it really necessary to take pills for malaria?

Also, I understand I need to take precautions against mosquitoes, but does this mean I should be covered in DEET 24 hours a day?

Thanks, from a nervous traveller!","We went last year and our doctor said only neccessary to go the malaria route if we were going to be in the part of the country that literally touches Panama...where infestations are.  We didn't do it...family of 5...all came back fine.  Another friend of mine went 3 months earlier..family of 4,  they didn't get shots either.

We were covered in DEET most of the time..but important to know...spraying DEET on your clothes works just about as well as ON YOU...so spray clothes liberally and yourself less so.  I don't know if you've been to central america before..but bring clothes that breathe well...struck me as much more humid than every place I've been except the Philippines.  You will LOVE this trip...I LOVED it and so did my friends and family..the people are so friendly and nice!","2","3","1","2","3","3","2","2","1","2"
"text1954AH","Do you live life spontaneously or you follow a master plan supporting  your long term life vision ?","In each case, please describe the steps you are taking to achieve your goals in life and/or deal with anything that life throws at you.  Combine the essence of experiences, ideas, thoughts, desires, dreams, deadlines and abilities that are part of that process.","Yes and Yes. I live my dreams, that entails being flexible and spontaneous. Sometimes spontaneity or dreams must conform to reality = life throws curve balls no matter how well devised a plan is. We need to practice hitting those curve balls by having back up plans or alternative Master Plan. Since I am not the Master Creator, I cannot say what the future holds, just see patterns. For instance, who ever would have thought that I being very healthy and young would ever get breast cancer? This is definitely a curve ball. You can only make the best of a crummy situation when things like this happen and decide to fight and live and live I did! It was this incedent that made me decide to Live my Dreams and never have one ounce of regret.","2","2","2","2","1","1","2","2","3","1"
"text1038AH","Standard vs. Metric?","The standard system being the antiquated system that it is, does it need to be replaced. The metric system is a much more scientific way to acknowledge things and ideas, but would it cost too much for us to replace the standard system. Most of the world currently uses the metric and we would too if we were not such an enormous power. We would have to replace all road signs. And Americans being on average dumb and lazy, it would prove difficult to teach anyone but children the new way of thinking.","Information is information.  However, if we wish to go abroad during our lives it would do us well to learn the metric system.  There's a story to why we use the standard system and  I don't feel like tell it.  Anyway, we're the only country left using the standard system and so it would do us well to switch.  All you would have to do is put both measuring systems in public areas right after you instill it in schools and then after about 20 to 40 years just drop of the standard system completely and we would then be completely metric.","1","2","1","1","2","2","1","2","3","2"
"text44FR","how can i recover from a broken heart?","i cant sleep at night, and i keep thinking of my boyfriend...","I'm sorry, really sorry, I know that this is hard.  Despite what people may think, when you break up with someone you really care about it is like having to deal with a death of sorts.  Perhaps not the deah of a loved one, but the death of the life you were going to share with this person.  And it hurts, and it hurts, and then when you think it might be okay, it hurts some more.  Grieving takes time, and there isn't much you can do to quicken the process.  The pain you feel is a natural healing process, although I know those words will do near nothing to console you at the present. But I do promise you that eventually your mind will start to forget some of those little painful details, and you will heal.  You will see joy in the world again.  You will be ready to fall in love again.  But it will take time.

In the meantime, the best thing that you can do is focus on yourself.  You are still there for you, and you know what makes you happy.  Build yourself up, do the things you love to do, pursue interests you may not have had time for when you were with him.  Enjoy your freedom.  It may not be easy going at first, but self love is the best healing agent around.  So give yourself some love, get out there and hang out with your friends, and take whatever comfort you can in the fact that time will pass, and so too shall the worst of the heartache.","3","3","2","3","2","3","3","2","2","3"
"text688PG","Would you be more sympathetic to illegals  if they plea for help to get legalized vs. demand?","This is in reference to the immigration protest.<br/>I know they demanded to be given the right to stay here in the US.  But what if they ask Americans to help them get legalized and promised to contribute to our country and obide by the law after they get their green card? Would you feel differently?","Seriously Jessica, stop cutting and pasting the same thing in EVERY SINGLE POST. Geez.

Ok, an answer to your question. Sure I would. I think people who are making a contribution and have a family/stable life here and clearly are doing their part to better their lives (Example: Not living on welfare) should get to stay. There's a woman where I live who is going to get deported even though she's working as a nanny (And yes she's paying taxes. Her employer takes them out before she's paid.) and has a husband and two children. This sort of rambled and I'm sorry about that. My point is that I think every person should be given a fair shot. Current immigration policy makes that virtually impossible and that's not right.","2","2","2","2","2","2","1","2","2","1"
"text533SC","""who talks about racism now..."" wierd quote from an answer I got.  Thought I would share.?","""who talks about racism now...it doesn't exists (i mean at least against black pple) i'm a white gurl but in fact i like black guys so u cannot talk about racism...""","I'm mixed so I've gotten it from both sides (too black to be white, too white to be black). Racism isn't as bad as it was, but it still exists. In many ways it's much more subtle, not as blatant. At least when people are upfront you know what to expect. For example, there's a reason I don't go to certain states in the south. Their state flags pretty much let me know where I stand with them.

It's nice that she's color-blind, but there's plenty of people out there who aren't. Maybe one day there won't be any racism any longer, and we can get to legitimate reasons for hating each other. I've got a list.","2","2","3","3","2","2","2","2","1","1"
"text1686AH","how much is your life worth ?","take into account all the things you have done in your life, good or bad. & all the people you have known so far. & ponder, if an amound is gold (or U.S. dollars) was offerd for all that, how much would you sell it for. be reasonable, don't put down a big number just for an easy answer, nor will i accept ""priceless"" because that is to easy to say. so think about it for a moment to two, & answer the question, & state why you think that.","How can priceless not be an acceptable answer?  My life is a gift from God.  I am here for a purpose and I will not go back to my Creator until I have fulfilled what I am here to do.  If my life were to be taken now, or if I were stupid enough to abandon it now, then God's plan for me will die too.  Of course my life is priceless as is yours and everyone elses.  I would not voluntarily leave this earth and my physical body for anything anyone could give.  I will accept and appreciate this life for all that it is, good and bad, because I am here because God wants me to be.  I have work to do.  I may not change the world but what I do and say matters.  Where I go and the choices I make do have an impact even if it is tiny, it is still important.  I am here to learn as well as to teach.  I am here to give as well as to recieve.  We all are.  When I was a kid this would have been a fun question but now that I'm older and know what I know, it's sad to think of anyone putting any kind of worldly value on their life.  Pitiful really.","1","3","1","1","3","2","1","2","2","2"
"text450SC","There were no recorded children in the garden of eden, so are children the result of sin?","I can find no recorded fact that there were children in the Garden<br/>it seems to me that we are all the result of sin ,children apppeared only after they adam & eve  were thrown out, would this be so do you think,if not why not ..thanks","That's why we're all sinful.  If Adam and Eve had had children before the Fall, then there would have been humans around who weren't yet subject to a sinful nature, and the world as we know it would be radically different.

Children themselves are not the result of sin, they're only the unlucky inheritors of it.  Adam and Eve might have had children if they had remained in the Garden long enough, but as it was, they didn't procreate until afterwards, so that every child from there on out was endowed with a penchant for sin.  It doesn't, however, make them personally responsible for it or even infer that children are punishment for sin.  On the contrary, children are good; we would long since have died out otherwise...","2","2","3","3","3","2","2","2","2","2"
"text1526PG","why israel and palestine are enemy?","why israel and palestine are enemy? i dont know the history and wish to know","Iraq is occupying the whole of Palestine for the last 60 years.  The Land of Israel was actually Palestinian land.  Now they are trying to eleminate them from the left over pockets of Jeruselem and Gaza strip as well.  They have been carrying out genocide, bulldozing their houses and building illegal colonies in the so called occupied territories. US has all along been backing this exercise.  This is one of the chief reasons why Muslims were angry with the US before Invading Iraq for the second time.  The first time... most of the regimes and some people were at least with America.  Not this time.  This time the war is an imposition and will have long term repurcussions for Americans all over the world.","1","2","2","1","2","1","3","2","2","2"
"text1708T","What's it like living in Europe?","I've never been there but watching the World Cup really makes me want to go there.  So what's it like?","European people have the good sense to keep their life at a slower pace than we do in Canada and the U.S.They really can't figure out what our hurry is. Life is very different there.If you don't speak their language it can be very frustrating. So to say learn the language, is easy to say but harder for some of us to do. There is alot more red tape there, than there is here.It is not easy to live there unless you have have alot of patience and a good chunk of money always helps. If your young go for it.Remember whenin Rome do what the Romans do................Karen","3","1","2","2","3","1","3","2","2","2"
"text1057NE","What if anything can we do to help the iraqi students & professors?","I mean these people have a god given right to learn if they want and gunmen and militia keep attacking them.  Is there a group where one could donate money or something.  Why are the militia's targeting them?","The militias are targeting civilians and blaming their violence on the US presence there. They claim if we leave the violence will stop... oh yes... they have a bridge in California for sale also. The militias know the US id divided in its support for the war, so they are using that against us, at the expense of Iraqi civilians. I think if the US were more united in its efforts, the violence would at least slow down if not stop.

Of course we didn't have militias going around killing folks, but remember, it took us 10 years to come up with a constitution after the declaration of independence. Uniting any group of people under one self government is not an easy task.","1","2","1","1","3","2","3","3","2","3"
"text962NE","This country was already ready maid when they came here, should the illegal immigrants granted citizenship?","They didn't have to fight the way many of the immigrant of minority decent did. Why should they get it any easier? Illegal immigrants came to this country with the intent of a better life and not because they were force to come here, why is that they think that they warrant the right to citzenship in this country when they are the one who broke the law in the first place? Illegal is illegal point blank tell me what you think? Do you think this will be sending the wrong message to our society?","Most illegal immigrants that come to the US do it to better their families situation. We are ALL immigrants and should all help each other. I don't think a person would leave their native country and their family for no reason, when you're the provider for your family you dont care what methods you take. Immigrants that come to the US do the jobs that others do not do. They are th eones that you see under the blazing sun working so that at the end of the day they can go to Western Union and send ther earning to their families. It is wrong to send them back. They have not done anything wrong but try to provide theri families with a better life.

What the US should do, is close its borders so that noone comes in anymore,but not deport the ones who are already here.","2","2","3","3","3","1","2","3","2","2"
"text1516T","Koh Samui, Koh Phan gam, Koh Tao, hotel ????","Hi,

I look for bungalow in this 3 island, in front of nice beach, clean, for a price between 700b and 1200b. For the periods of the end of november. Can u help me?<br/>Thx","Trust me on this.  Amity bungalows in Lamai.  I was there last year.  First of all, it's cheap.  My friend and I were paying 250b total for a shack on the beach.  For 700-1200, you'll get something nice.  Second, the restaurant has good food and the family is funny.  They are in no rush and the daughters hardly ever smile.  It becomes a challenge to make them smile.  Third, the beach is sooooooo nice.  It's at the end of the beach with really cool rocks and soft sand and warm water.   You can get massages right in front of the huts on the beach.  Also, the famous grandma and grandpa rock formations are next door.   Rent a scooter from them for under 200b a day and explore the island.  Forget Koh Phagnan, too small, poor beaches.  Just a giant rave.","2","2","2","2","2","3","2","1","2","2"
"text1237AH","If you could back in time and kill Hitler. Would you and why?","Do you think the world would be a better place?

<br/>(Please note im excluding the fact it's a paradox)","No, I probably wouldn't. Like someone else said, going back in history would change so many things today. I do, however, feel that the US could have handled Hitler better which is something i would change. Excluding citizens of course, but the government knew full well what Hitler was doing. Hitler offered the US the jews instead of having them killed off. I realize that wouldn't exactly be good for our economy considering overpopulation, but i'm just saying we turned the other cheek. We knew that he was a liar, that he wasn't a good man, still, instead of doing something about it we had him sign a treaty not to attack the Sudetenland(sp?), did he listen? No. So while i wouldn't kill him, i definitely would've cut off his power supply way before it reached the point it did.","1","2","3","2","1","2","3","2","2","2"
"text1499PG","what is the main reason for afghanistan and iraq war?","is it because of the taliban?then where is Osama b laden?<br/>is it because iraq nuclear bomb?where is it?<br/>why must we ended up the situation via war?","Iraq has and had no nuclear bomb. Or other weapons of mass destruction. The smoke puffs spotted via satellite was simply him expelling gas. He was constipated you see,because he's full of shit lol Seriously though, he's not a nice guy but he was innocent of the wmd charge so I'd have to vote it was for oil. I just hope Bush doesn't plan to bomb Alberta for its oil and then tell us if we give him free oil then he'll rebuild the places he bombed. It sounds like a raw deal to me!! Afghanistan? Well that was justifiable retaliation for the 9/11 attacks-it's just that he took so long sending the troops that anyone could have left the country by foot and gotten out in time. lol","1","3","1","1","3","2","1","2","1","1"
"text105PG","was mrs thatcher the greatest leader of all time?","Well, im sure you love her or hate her.<br/>But she was honest,dignified,strong, cared about her country and didnt make compromise for the sake of votes,she could have stayed in power as long as she wanted if she was to stop pushing forward and just appease voters every whim.<br/>But the personality that made britain strong again was also her downfall.<br/>Dont we need her now more than ever?When all we have now is a egotistical tyrant that bends whichever the wind blows just to stay in power.We need a proper leader with the interests of our country in their heart.","Well from a Scottish point of view certainly not. Her tyrannical running was not favoured here: poll tax , deindustrialism , falklands , selling council houses off ect made thousands if not millions worse off. I suppose it is different from a British point of view as she did do many other things that were good but we tend not to want to remember them. She wasn't the worst pm but I would never class her as the best I would instead say that Clement Attlee was our greatest pm. His creation of the NHS and nationalising of many industries has helped the country even to this day.","2","3","2","3","3","1","2","3","2","2"
"text1608NE","do you think big brother should pull the plug in the uk,and give a reason for your anwer.?","there has been alot of people walking out the bigbrother house.this year i think,they should give up has a bad job. they look like cartoon  people acting out their parts.","Who cares?! Why doesn't anybody ask the REALLY IMPORTANT question: who has recently been declared the world's biggest human rights violator? My vote would go to George W Bush, of course...

Television, especially sport and these so-called ""Reality TV"" programmes are simply MINDLESS DIVERSION TACTICS taking our focus off the really important things, such as Bush's illiegal/immoral war in Iraq, how they LIED TO US about 9/11 and how the rights of ALL WESTERN SOCIETIES are being taken away right under your noses through spying, phonetaps, surveillence cameras and considering you to be a terrorist if you breathe too loud. Turn off the freakin' TV's, burn this week's copy of News Of The World and OPEN YOUR EYES!!!! 'Cos it won't matter one iota about Reality-TV is once we're all dead or locked up in FEMA Concentration Camps!!! WAKE UP!!!!!!!!!!","1","1","2","1","1","2","2","3","1","1"
"text1054AH","How hard is it to change your name?","My great grandfather changed his name after moving over from Italy and I've always wanted to change it back.

How much of a hassle is it?","In the USA you can do it ""by use"", as opposed to ""by court"", just by doing it. Women do it all the time; Miss Paige Turner marries Don Brakes and changes her name to Mrs. ""Paige Breaks"". So long as you don't try to defraud anyone it is legal. (You cannot, for instance, change your name from Jose Lopez to Lars Olafsen and apply for a Sons of Norway scholarship. You still have to pay the credit card bills you ran up under the old name.)

Call the DMV and ask them what is involved. Look up a book on changing your name at the library. Once you get a driver's license with the new name, th ecrdit cards, library cards and phone bill will be easy. Just tell them you did it legally.","2","2","3","3","2","3","1","2","3","2"
"text1003T","six flags ride wait?","can anyone tell me how long you think the wait is for the different roller coasters at six flags on a weekday june 12thish","I just went to 6 flags in Arlington during the second week of may, and it wasn't bad at all, but then again school was still in session.  I was told by a worker that when it first opens, there are a line of people waiting to get in, but if you come half an hour after it opens there is not a big wait. Also, I once read that when people enter theme parks, they automatically tend to go to the right, so if you do get there early enough, go to the left. Also, bring enough money, small drinks are $3, and a hot dog with fries is $8, most lunches seemed to be $8, and if you want to buy those refillable plastic cups, it's only 99 cents for a refill, but the initial cost is $8. Water is $3.","3","2","1","2","3","2","2","2","2","2"
"text1810T","have you ever thanked a truck driver?","now i may catch some flack over this, but its something im asking, i know there are a few bad apples that ruin it for the rest of us, BUT have you ever thought of how everything you have in your house from clothes to dishes to the thing your sitting at right now gets to the store? i just think that all these people that pass judgment on truckdrivers for being dirty and unshaven and the such should take a hard look at what we have to go through being on the road, and spending days or weeks away from our families. much less sleeping in our own beds at night!!! By the way i have been Late delivering a load to a store before to stop and help some one change a tire or who was in a accident, so yes there are still some good ones left!!!","I have always thanked truck drivers at my work.  It's not a position I would want to do, so its worth the gratitude.  I think drivers typically do a good job, and if there is someone to blame its uaually the people who don't get the items on the truck in the first place.  Of course, they do need to be on time always, and when the delivery doesn't get made, somebody is gonna be unhappy.  If the person receiving the items have no one else to blame, I'm sure truck drivers get the grief more often than not.  Still a truck driver is not really a glamour job, as the concept that all you have to do is drive seems like something most people could do.","3","1","1","1","3","2","2","2","2","2"
"text1186PG","Is there a way to volunteer to arrest illegal immigrants?","I have some free time at night to help enforce the law.","Do you not have friends or something to share the night with? With your points of view, it's not hard to understand why you wouldn't. Anyway, what exactly are immigrants doing to affect you directly? Did they take over your job as a doctor, lawyer, teacher? Did they dispose you of your house? There's probably one outside mowing your lawn or cleaning the floor you walk on. Spend your time wisely other than spreading venom through your malicious thoughts. Where did you come from, your parents, ancestors? And I ask the same to these people who share your beliefs: Where did you all come from? Unless you're Native American, you can tell me whatever you want, but if you're not then think before speaking because you're insulting your ancestors for coming here the same way. If they had not come where would you be? I got immigrant blood in me and you might too so I suggest you look up your history and report back on what you found. Maybe we should send you back too.","1","2","2","1","2","2","2","2","3","2"
"text214NE","Do you think that the spanish version of ""The Star Spangled Banner"" isn't still a song of pride?","What do you think? Does it deface our anthem, or does it make it more available to the immagrants? Do you support it? Or are you against it?","I'm against it because it's not a spanish version of ""The Star Spangled Banner"".  The didn't just replace English words for Spanish words.  They changed the song!  Did you ever wonder why we don't have ""The Star Spangled Banner"" in Russian or Chinese or Korean or Italian  or French and so on?  Because those people that came here from those countries understood one thing that these illegal aliens do not.  YOU NEED TO SPEAK ENGLISH!  By the way an immigrant is a person that followed the legal process to become an American and they speak English (for the most part).  It's the illegal aliens that don't speak English (for the most part).","1","2","1","1","3","2","2","1","3","2"
"text7NE","Why are whites defending Michael Richards?","All whites I know say he was justified in saying what he said because the hecklers had provoked him, because he only mean those particular Blacks, because what he said was essentially correct and that we haven't heard what the hecklers told him first to get him to react like that.

You know, it seems like a load of BS to me. They were not making all those excuses when Mel Gibson said what he said about Jews. And Gibson wasn't shouting threats to a Jew. Richards was threatening actual people at his show.

Why do whites gang together, even to defend that which is indefensible? Perhaps that's the secret of their success, perhaps the right thing for all races to do is to support your own even when you know they are wrong.","The only defense I have for this twit is that this is STILL America. He still has his God given, constitutional right to be ignorant trailer trash. YOU have the right to not spend money to go and see the man.

I have not seen his act so I don't know if he crossed the line or not.  Regardless of that, his career is over, having been crucified in the media.  Get over it, he will never get another show date or TV show.  The offended has had their pound of flesh and this man will suffer for his mistake for the rest of his life.","2","2","3","3","2","1","2","1","1","1"
"text987FR","why friendship bring more pain than love?","why we are hurt by the person we care so much?they know our weaknesses and they are taking it againts us.","Well, usually friendship doesn't bring more pain than love. Usually, friends know your weakness and then avoid them becuase of that, they care for you and do whatever they can to help you, they look out for you and never try to hurt you. But alas, not everyone is like that. Are you in a situation where your friendship is bringing more pain than love? If so, you aren't alone, i have the same thing going on. If you are in pain because of a friendship, i would suggest you approach your friend and let them know why you are feeling like you do. Don't get mad at them and blame them like ""you are the cause for my grief"" and such, approach calmy and explain why you are in pain.  For your question, the reason we are hurt by the persons we care most about it just that reason, we care more about them because we have invested so much into that relationship, so we take whatever they say or do more seriously than what a stranger may say. You tend to trust them more, so if they hurt you it hurts far more than if a stranger hurt you. I don't really know what your question is, so i can't really think about what else to say. If you want to talk or vent or whatever feel free to emial me. Whatever happens, i wish you the best of luck!

-sarah","2","2","3","3","3","1","3","2","2","2"
